Tue Dec 27 15:07:34 CST 2022
MaxEnt version 3.4.4
Checking header of /volumes/env/na_2.5min/BIOCLIM_1.asc
Checking header of /volumes/env/na_2.5min/BIOCLIM_12.asc
Checking header of /volumes/env/na_2.5min/BIOCLIM_17.asc
Checking header of /volumes/env/na_2.5min/BIOCLIM_7.asc
Checking header of /volumes/env/na_2.5min/GTOPO30_ELEVATION.asc
Checking header of /volumes/env/na_2.5min/GTOPO30_SLOPE_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_phx10percent_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_sandpercent_reduced.asc
Checking header of /volumes/env/na_2.5min/ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced.asc
Checking header of /volumes/env/na_2.5min/LandCover_1_Needleleaf.asc
Checking header of /volumes/env/na_2.5min/LandCover_6_Herbaceous.asc
Checking header of /volumes/env/na_2.5min/mask.asc
Reading samples from Tiarella_polyphylla.csv
Read samples: max memory 32178700288, total allocated 2118123520, free 2094301648, used 23821872, increment 23821872
Warning: Sample at 139.165556, 36.814167 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.61834, 26.01 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 99.70601, 27.82308 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.37, 36.7967 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.360556, 36.673333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 121.65, 24.30833 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 141.1, 41.3 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.1, 36.9 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.565339, 35.977643 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.514, 36.8252 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 114.37098, 28.52075 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 100.85195, 27.2822 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.616667, 36.566667 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.6194, 27.9983 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 142.250675, 43.096637 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.565, 35.9776 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.031, 36.9008 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.584, 36.7578 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.58623, 36.75233 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 102.54611, 30.91194 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 140.364, 37.40598 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.26141, 36.33999 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 103.57846, 25.42813 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 106.25927, 29.29019 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 103.23188, 29.73797 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.928889, 36.809167 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 143.1, 42.7 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 104.25073, 23.363 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.6, 36.033333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 112.80556, 27.22152 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 106.2899, 32.22892 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.173889, 36.903333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 113.81421, 29.24358 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.509, 36.6206 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 102.84267, 28.01416 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.596667, 36.758333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.365556, 36.893611 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 140.7086, 42.841615 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 103.39859, 29.49612 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 102.75831, 30.06671 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.76936, 27.17139 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.2, 35.5 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 137.016667, 36.333333 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 141.047778, 39.158056 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.76944, 27.17139 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.508611, 36.620556 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.33139, 28.08472 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.77882, 37.20166 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.419, 36.5436 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.780833, 36.686389 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.4, 35.9 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.45, 36.045 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.416667, 35.916667 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.419, 36.7978 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.533, 36.6381 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 103.89135, 27.74804 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 142.524251, 43.302734 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 138.17799, 35.8853 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.91154, 28.48611 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.443, 36.7875 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.77278, 27.16861 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 142.0079, 42.99821 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 139.174, 36.8347 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
Warning: Sample at 98.33145, 28.08466 in Tiarella_polyphylla.csv is outside the bounding box of environmental data, skipping
